item,price,date
apple cider,3.378618,2016-01-01
apples,1.894387,2016-01-01
apple cider,3.390203,2016-02-01
apples,1.899455,2016-02-01
apple cider,3.399751,2016-03-01
apples,1.871765,2016-03-01
apple cider,3.406069,2016-04-01
apples,1.85067,2016-04-01
apples,1.900369,2016-05-01
apple cider,3.417797,2016-05-01
apple cider,3.428099,2016-06-01
apples,1.922029,2016-06-01
apple cider,3.438635,2016-07-01
apples,1.944975,2016-07-01
apples,2.006477,2016-08-01
apple cider,3.433276,2016-08-01
apples,1.974726,2016-09-01
apple cider,3.445479,2016-09-01
apples,1.958614,2016-10-01
apple cider,3.441741,2016-10-01
apples,1.929512,2016-11-01
apple cider,3.455928,2016-11-01
apple cider,3.456964,2016-12-01
apples,1.93014,2016-12-01
apple cider,3.451531,2017-01-01
apples,1.862589,2017-01-01
apples,1.894901,2017-02-01
apple cider,3.248194,2017-02-01
apples,1.903839,2017-03-01
apple cider,3.552123,2017-03-01
apples,1.903869,2017-04-01
apple cider,3.58187,2017-04-01
apple cider,3.600052,2017-05-01
apples,1.897835,2017-05-01
apples,1.967833,2017-06-01
apple cider,3.620282,2017-06-01
apple cider,3.608939,2017-07-01
apples,2.011568,2017-07-01
apple cider,3.614721,2017-08-01
apples,1.991413,2017-08-01
apples,1.976379,2017-09-01
apple cider,3.606256,2017-09-01
apple cider,3.613333,2017-10-01
apples,1.989218,2017-10-01
apple cider,3.6146,2017-11-01
apples,2.009607,2017-11-01
apples,2.014516,2017-12-01
apple cider,3.605792,2017-12-01
apples,2.034451,2018-01-01
apple cider,3.616106,2018-01-01
apples,2.052813,2018-02-01
apple cider,3.599767,2018-02-01
apples,2.047101,2018-03-01
apple cider,3.605194,2018-03-01
apple cider,3.613585,2018-04-01
apples,1.996434,2018-04-01
apple cider,3.610155,2018-05-01
apples,2.071303,2018-05-01
apples,2.109104,2018-06-01
apple cider,3.605051,2018-06-01
apple cider,3.606835,2018-07-01
apples,2.114237,2018-07-01
apple cider,3.60665,2018-08-01
apples,2.128056,2018-08-01
apples,2.131207,2018-09-01
apple cider,3.601418,2018-09-01
apples,2.091201,2018-10-01
apple cider,3.595254,2018-10-01
apples,2.03881,2018-11-01
apple cider,3.606092,2018-11-01
apples,2.013427,2018-12-01
apple cider,3.608056,2018-12-01
apple cider,3.579518,2019-01-01
apples,1.996023,2019-01-01
apples,2.002396,2019-02-01
apple cider,3.577474,2019-02-01
apples,2.050854,2019-03-01
apple cider,3.604872,2019-03-01
apple cider,3.625601,2019-04-01
apples,2.04927,2019-04-01
apple cider,3.627632,2019-05-01
apples,2.068716,2019-05-01
apple cider,3.639102,2019-06-01
apples,2.091268,2019-06-01
apple cider,3.628582,2019-07-01
apples,2.113533,2019-07-01
apple cider,3.658035,2019-08-01
apples,2.116076,2019-08-01
apple cider,3.647481,2019-09-01
apples,2.141891,2019-09-01
apple cider,3.648788,2019-10-01
apples,2.013049,2019-10-01
apples,1.984697,2019-11-01
apple cider,3.665714,2019-11-01
apples,1.963365,2019-12-01
apple cider,3.664036,2019-12-01
apple cider,3.655369,2020-01-01
apples,1.990806,2020-01-01
apples,1.99511,2020-02-01
apple cider,3.671588,2020-02-01
apple cider,3.683495,2020-03-01
apples,2.020966,2020-03-01
apples,2.007766,2020-04-01
apples,2.133396,2020-05-01
apples,2.18035,2020-06-01
apple cider,3.421525,2020-07-01
apples,2.186121,2020-07-01
apples,2.206702,2020-08-01
apple cider,3.626722,2020-08-01
apples,2.155649,2020-09-01
apple cider,3.687538,2020-09-01
apple cider,3.709846,2020-10-01
apples,2.063514,2020-10-01
apples,2.057531,2020-11-01
apples,2.058362,2020-12-01
apple cider,3.827521,2020-12-01
apples,2.143846,2021-01-01
apples,2.157928,2021-02-01
apples,2.176269,2021-03-01
apples,2.216996,2021-04-01
apple cider,3.592923,2021-05-01
apples,2.127682,2021-05-01
apple cider,3.678025,2021-06-01
apples,2.13216,2021-06-01
apples,2.201804,2021-07-01
apple cider,3.762733,2021-07-01
apple cider,3.783623,2021-08-01
apples,2.21985,2021-08-01
apples,2.210867,2021-09-01
apple cider,3.791219,2021-09-01
apple cider,3.819666,2021-10-01
apples,2.196124,2021-10-01
apple cider,3.844487,2021-11-01
apples,2.182735,2021-11-01
apples,2.208328,2021-12-01
apple cider,3.862632,2021-12-01
apples,2.226317,2022-01-01
apple cider,3.874487,2022-01-01
apples,2.204915,2022-02-01
apple cider,3.93491,2022-02-01
apples,2.241294,2022-03-01
apple cider,3.990943,2022-03-01
apple cider,4.003528,2022-04-01
apples,2.222671,2022-04-01
apples,2.196099,2022-05-01
apple cider,3.999753,2022-05-01
apples,2.197957,2022-06-01
apple cider,4.01336,2022-06-01
apples,2.298281,2022-07-01
apple cider,4.034387,2022-07-01
apples,2.342152,2022-08-01
apple cider,4.04193,2022-08-01
apple cider,4.047057,2022-09-01
apples,2.33589,2022-09-01
apples,2.313846,2022-10-01
apple cider,4.070941,2022-10-01
apple cider,4.070161,2022-11-01
apples,2.286567,2022-11-01
apples,1.012222,2000-01-01
apples,1.026067,2000-02-01
apples,1.052218,2000-03-01
apples,1.078885,2000-04-01
apples,1.095402,2000-05-01
apples,1.149239,2000-06-01
apples,1.114826,2000-07-01
apples,1.164424,2000-08-01
apples,1.152792,2000-09-01
apples,1.088694,2000-10-01
apples,1.051227,2000-11-01
apples,1.072626,2000-12-01
apples,1.072945,2001-01-01
apples,1.077698,2001-02-01
apples,1.089963,2001-03-01
apples,1.115037,2001-04-01
apples,1.181397,2001-05-01
apples,1.188864,2001-06-01
apples,1.245751,2001-07-01
apples,1.260036,2001-08-01
apples,1.25513,2001-09-01
apples,1.2084,2001-10-01
